code,name,country
AAPL,Apple,USA
MSFT,Microsoft,USA
GOOG,Alphabet (Google),USA
AMZN,Amazon,USA
TSLA,Tesla,USA
BRK-A,Berkshire Hathaway ,USA
FB,Meta (Facebook),USA
JNJ,Johnson & Johnson,USA
UNH,UnitedHealth,USA
V,Visa,USA
WMT,Walmart,USA
NVDA,NVIDIA,USA
XOM,Exxon Mobil,USA
PG,Procter & Gamble,USA
JPM,JPMorgan Chase,USA
CVX,Chevron,USA
MA,Mastercard,USA
HD,Home Depot,USA
PFE,Pfizer,USA
BAC,Bank of America ,USA
KO,Coca-Cola,USA
LLY,Eli Lilly,USA
ABBV,AbbVie,USA
PEP,Pepsico,USA
AVGO,Broadcom,USA
MRK,Merck,USA
COST,Costco,USA
TMO,Thermo Fisher Scientific,USA
VZ,Verizon,USA
CSCO,Cisco,USA
DIS,Walt Disney,USA
ABT,Abbott Laboratories,USA
ORCL,Oracle,USA
CMCSA,Comcast,USA
ADBE,Adobe,USA
MCD,McDonald,USA
INTC,Intel,USA
DHR,Danaher,USA
NKE,Nike,USA
BMY,Bristol-Myers Squibb,USA
PM,Philip Morris,USA
CRM,Salesforce,USA
WFC,Wells Fargo,USA
UPS,United Parcel Service,USA
TMUS,T-Mobile US,USA
TXN,Texas Instruments,USA
QCOM,QUALCOMM,USA
UNP,Union Pacific Corporation,USA
AMD,AMD,USA
T,AT&T,USA
MS,Morgan Stanley,USA
RTX,Raytheon Technologies,USA
NEE,Nextera Energy,USA
HON,Honeywell,USA
AMGN,Amgen,USA
CVS,CVS Health,USA
COP,ConocoPhillips,USA
LOW,Lowe's Companies,USA
SCHW,Charles Schwab,USA
IBM,IBM,USA
